table_id,table_label,table_caption,table_number,x,y,z,p_value,region,size,statistic,groups
T1,Table 1,,,-6.0,-4.0,55.0,,,,,
T1,Table 1,,,6.0,-4.0,61.0,,,,,
T1,Table 1,,,-3.0,-28.0,64.0,,,,,
T1,Table 1,,,-12.0,-7.0,49.0,,,,,
T1,Table 1,,,12.0,2.0,45.0,,,,,
T1,Table 1,,,-39.0,-10.0,55.0,,,,,
T1,Table 1,,,45.0,-1.0,52.0,,,,,
T1,Table 1,,,-54.0,5.0,7.0,,,,,
T1,Table 1,,,57.0,8.0,16.0,,,,,
T1,Table 1,,,36.0,41.0,25.0,,,,,
T1,Table 1,,,-12.0,-43.0,67.0,,,,,
T1,Table 1,,,-12.0,-43.0,64.0,,,,,
T1,Table 1,,,-63.0,-28.0,31.0,,,,,
T1,Table 1,,,57.0,-28.0,25.0,,,,,
T1,Table 1,,,-48.0,-28.0,22.0,,,,,
T1,Table 1,,,54.0,-28.0,25.0,,,,,
T1,Table 1,,,-45.0,2.0,8.0,,,,,
T1,Table 1,,,33.0,17.0,10.0,,,,,
T1,Table 1,,,-27.0,-1.0,13.0,,,,,
T1,Table 1,,,24.0,-1.0,13.0,,,,,
T1,Table 1,,,-15.0,-13.0,4.0,,,,,
T1,Table 1,,,-33.0,-58.0,-26.0,,,,,
T1,Table 1,,,21.0,-34.0,-26.0,,,,,
T1,Table 1,,,-6.0,-4.0,55.0,,,,,
T1,Table 1,,,9.0,5.0,61.0,,,,,
T1,Table 1,,,-3.0,-28.0,64.0,,,,,
T1,Table 1,,,-6.0,-7.0,49.0,,,,,
T1,Table 1,,,3.0,8.0,46.0,,,,,
T1,Table 1,,,-39.0,-10.0,52.0,,,,,
T1,Table 1,,,45.0,-1.0,52.0,,,,,
T1,Table 1,,,-54.0,5.0,7.0,,,,,
T1,Table 1,,,57.0,8.0,16.0,,,,,
T1,Table 1,,,36.0,41.0,25.0,,,,,
T1,Table 1,,,-12.0,-43.0,61.0,,,,,
T1,Table 1,,,-6.0,-40.0,58.0,,,,,
T1,Table 1,,,-63.0,-28.0,31.0,,,,,
T1,Table 1,,,57.0,-28.0,25.0,,,,,
T1,Table 1,,,-48.0,-28.0,19.0,,,,,
T1,Table 1,,,54.0,-28.0,25.0,,,,,
