Brain areas,Task,Task,Task,Task,Task+AgonistStim,Task+AgonistStim,Task+AgonistStim,Task+AgonistStim,Task+ControlStim,Task+ControlStim,Task+ControlStim,Task+ControlStim
Unnamed: 0_level_1,MNI coordinates,MNI coordinates.1,MNI coordinates.2,T value,MNI coordinates,MNI coordinates.1,MNI coordinates.2,T value,MNI coordinates,MNI coordinates.1,MNI coordinates.2,T value
L_SMA,−6,−4,55,14.69,−6,−4,55,15.49,−6,−4,55,15.39
R_SMA,6,−4,61,11.15,9,5,61,12.58,6,−1,61,12.13
L_M1,−3,−28,64,13.75,−3,−28,64,15.18,−3,−28,64,14.85
L_CMA,−12,−7,49,8.9,−6,−7,49,12.22,−6,−7,49,11.73
R_CMA,12,2,45,7.82,3,8,46,10.33,9,14,34,8.37
L_PMd,−39,−10,55,6.52,−39,−10,52,7.89,−39,−10,52,7.5
R_PMd,45,−1,52,6.45,45,−1,52,7.93,45,−1,52,7.34
L_PMv,−54,5,7,6.43,−54,5,7,7.76,−48,5,4,7.72
R_PMv,57,8,16,7.7,57,8,16,9.12,57,8,16,7.79
R_MFG,36,41,25,5.92,36,41,25,7.57,36,41,25,7.47
L_S1,−12,−43,67,6.98,−12,−43,61,9.47,−12,−43,61,9.21
L_SPL,−12,−43,64,7.47,−6,−40,58,8.0,−12,−46,70,8.51
L_IPC,−63,−28,31,6.8,−63,−28,31,8.88,−60,−31,43,5.71
R_IPC,57,−28,25,9.05,57,−28,25,12.6,63,−28,22,11.29
L_S2,−48,−28,22,6.26,−48,−28,19,9.18,−48,−28,22,8.97
R_S2,54,−28,25,8.61,54,−28,25,12.43,54,−28,25,11.93
L_Insula,−45,2,8,6.63,−33,−25,19,7.35,−45,2,4,7.32
R_Insula,33,17,10,6.44,42,5,7,8.92,33,14,10,8.46
L_Putamen,−27,−1,13,7.78,−27,−1,13,9.81,−27,−1,13,9.01
R_Putamen,24,−1,13,5.44,24,−1,13,6.41,24,−1,13,7.03
L_Thalamus,−15,−13,4,6.41,−15,−13,4,6.85,−15,−13,4,7.31
L_Cerebellum,−33,−58,−26,7.4,−33,−58,−26,8.8,−33,−64,−26,9.2
R_Cerebellum,21,−34,−26,8.32,21,−34,−26,9.45,21,−34,−26,9.96
