Localization,Talairach coordinates,Talairach coordinates,Talairach coordinates,"z-values, local maxima"
Unnamed: 0_level_1,x,y,z,Unnamed: 4_level_1
Dorsal premotor cortex (PMd),28,0,54,3.6
,−26,6,60,5.4
Middle frontal gyrus,31,42,24,4.1
Presupplementary motor area (pre-SMA),−5,9,48,3.6
Inferior frontal junction (IFJ),−35,6,30,4.1
Superior parietal lobule (SPL),19,−54,60,5.0
,−14,−69,48,5.0
Intraparietal sulcus (IPS),−38,−42,51,4.2
,−29,−75,30,4.1
Posterior middle temporal gyrus (pMTG),43,−69,3,4.0
,−53,−66,6,4.2
,−47,−51,−9,5.4
Cuneus,−20,−96,3,4.0
Thalamus,−14,−15,12,4.6
Cerebellum,10,−51,−36,4.2
