table_id,table_label,table_caption,table_number,x,y,z,p_value,region,size,statistic,groups
t0020,Table 4,,,26.0,22.0,-16.0,,,,,
t0020,Table 4,,,-10.0,-72.0,-36.0,,,,,
t0020,Table 4,,,38.0,-2.0,-2.0,,,,,
t0020,Table 4,,,30.0,-20.0,14.0,,,,,
t0020,Table 4,,,30.0,-48.0,-18.0,,,,,
t0020,Table 4,,,20.0,-12.0,4.0,,,,,
t0020,Table 4,,,40.0,-30.0,54.0,,,,,
t0020,Table 4,,,-20.0,26.0,-16.0,,,,,
t0020,Table 4,,,34.0,-16.0,56.0,,,,,
t0020,Table 4,,,-16.0,-94.0,0.0,,,,,
t0020,Table 4,,,6.0,-8.0,44.0,,,,,
t0020,Table 4,,,38.0,24.0,-2.0,,,,,
t0020,Table 4,,,18.0,28.0,30.0,,,,,
t0020,Table 4,,,58.0,-30.0,28.0,,,,,
t0020,Table 4,,,16.0,10.0,-8.0,,,,,
t0030,Table 6,,,-8.0,30.0,-4.0,,,,,
t0030,Table 6,,,8.0,62.0,-2.0,,,,,
t0020,Table 4,,,26.0,22.0,-16.0,,,,,
t0020,Table 4,,,-10.0,-72.0,-36.0,,,,,
t0020,Table 4,,,38.0,-2.0,-2.0,,,,,
t0020,Table 4,,,30.0,-20.0,14.0,,,,,
t0020,Table 4,,,30.0,-48.0,-18.0,,,,,
t0020,Table 4,,,20.0,-12.0,4.0,,,,,
t0020,Table 4,,,40.0,-30.0,54.0,,,,,
t0020,Table 4,,,-20.0,26.0,-16.0,,,,,
t0020,Table 4,,,34.0,-16.0,56.0,,,,,
t0020,Table 4,,,-16.0,-94.0,0.0,,,,,
t0020,Table 4,,,6.0,-8.0,44.0,,,,,
t0020,Table 4,,,38.0,24.0,-2.0,,,,,
t0020,Table 4,,,18.0,28.0,30.0,,,,,
t0020,Table 4,,,58.0,-30.0,28.0,,,,,
t0020,Table 4,,,16.0,10.0,-8.0,,,,,
t0030,Table 6,,,-8.0,30.0,-4.0,,,,,
t0030,Table 6,,,8.0,62.0,-2.0,,,,,
t0020,Table 4,,,26.0,22.0,-16.0,,,,,
t0020,Table 4,,,-10.0,-72.0,-36.0,,,,,
t0020,Table 4,,,38.0,-2.0,-2.0,,,,,
t0020,Table 4,,,30.0,-20.0,14.0,,,,,
t0020,Table 4,,,30.0,-48.0,-18.0,,,,,
t0020,Table 4,,,20.0,-12.0,4.0,,,,,
t0020,Table 4,,,40.0,-30.0,54.0,,,,,
t0020,Table 4,,,-20.0,26.0,-16.0,,,,,
t0020,Table 4,,,34.0,-16.0,56.0,,,,,
t0020,Table 4,,,-16.0,-94.0,0.0,,,,,
t0020,Table 4,,,6.0,-8.0,44.0,,,,,
t0020,Table 4,,,38.0,24.0,-2.0,,,,,
t0020,Table 4,,,18.0,28.0,30.0,,,,,
t0020,Table 4,,,58.0,-30.0,28.0,,,,,
t0020,Table 4,,,16.0,10.0,-8.0,,,,,
t0030,Table 6,,,-8.0,30.0,-4.0,,,,,
t0030,Table 6,,,8.0,62.0,-2.0,,,,,
