table_id,table_label,table_caption,table_number,x,y,z,p_value,region,size,statistic,groups
Tab3,Table 3,,,-36.0,-40.0,7.0,,,,,
Tab3,Table 3,,,-36.0,32.0,1.0,,,,,
Tab3,Table 3,,,27.0,44.0,-5.0,,,,,
Tab3,Table 3,,,-48.0,-4.0,13.0,,,,,
Tab3,Table 3,,,24.0,44.0,-5.0,,,,,
Tab3,Table 3,,,-33.0,44.0,-5.0,,,,,
Tab3,Table 3,,,45.0,-1.0,25.0,,,,,
Tab4,Table 4,,,-30.0,17.0,43.0,,,,,
Tab4,Table 4,,,36.0,-28.0,49.0,,,,,
Tab4,Table 4,,,6.0,-52.0,28.0,,,,,
Tab4,Table 4,,,27.0,-40.0,1.0,,,,,
Tab4,Table 4,,,60.0,-46.0,43.0,,,,,
Tab4,Table 4,,,-3.0,26.0,49.0,,,,,
Tab4,Table 4,,,33.0,26.0,43.0,,,,,
Tab4,Table 4,,,42.0,41.0,13.0,,,,,
Tab4,Table 4,,,6.0,-52.0,28.0,,,,,
Tab4,Table 4,,,45.0,38.0,13.0,,,,,
Tab4,Table 4,,,51.0,-22.0,43.0,,,,,
Tab4,Table 4,,,36.0,26.0,-11.0,,,,,
Tab4,Table 4,,,-15.0,38.0,43.0,,,,,
Tab4,Table 4,,,54.0,5.0,-29.0,,,,,
Tab3,Table 3,,,-36.0,-40.0,7.0,,,,,
Tab3,Table 3,,,-36.0,32.0,1.0,,,,,
Tab3,Table 3,,,27.0,44.0,-5.0,,,,,
Tab3,Table 3,,,-48.0,-4.0,13.0,,,,,
Tab3,Table 3,,,24.0,44.0,-5.0,,,,,
Tab3,Table 3,,,-33.0,44.0,-5.0,,,,,
Tab3,Table 3,,,45.0,-1.0,25.0,,,,,
Tab4,Table 4,,,-30.0,17.0,43.0,,,,,
Tab4,Table 4,,,36.0,-28.0,49.0,,,,,
Tab4,Table 4,,,6.0,-52.0,28.0,,,,,
Tab4,Table 4,,,27.0,-40.0,1.0,,,,,
Tab4,Table 4,,,60.0,-46.0,43.0,,,,,
Tab4,Table 4,,,-3.0,26.0,49.0,,,,,
Tab4,Table 4,,,33.0,26.0,43.0,,,,,
Tab4,Table 4,,,42.0,41.0,13.0,,,,,
Tab4,Table 4,,,6.0,-52.0,28.0,,,,,
Tab4,Table 4,,,45.0,38.0,13.0,,,,,
Tab4,Table 4,,,51.0,-22.0,43.0,,,,,
Tab4,Table 4,,,36.0,26.0,-11.0,,,,,
Tab4,Table 4,,,-15.0,38.0,43.0,,,,,
Tab4,Table 4,,,54.0,5.0,-29.0,,,,,
