Characteristics,Baseline,3 months after stenting,P-value
Age (years),66.8 ± 5.8,66.8 ± 5.8,
Male:female,12:4,12:4,
Education (years),9.9 ± 3.0,9.9 ± 3.0,
Hypertension,15,15,
Diabetes mellitus,4,4,
Hypercholesterolemia,7,7,
Stenotic side,,,
Left,5,5,
Right,11,11,
MMSE,27.0,28.0,0.01???
MoCA,23.5,24.0,0.05
Verbal Memory Test,,,
Forward digit span,6.0,6.0,0.04???
Backward digit span,4.0,5.0,0.04???
Rey Auditory Verbal Learning Test,,,
Immediate recall,29.5,34.5,0.19
Delayed recall,4.0,6.5,0.03???
Digit Symbol Test,26.5,30.5,0.14
