table_id,table_label,table_caption,table_number,x,y,z,p_value,region,size,statistic,groups
T3,Table 3.,,,3.0,-57.0,27.0,,,,,
T3,Table 3.,,,-15.0,-90.0,-3.0,,,,,
T3,Table 3.,,,-3.0,48.0,-9.0,,,,,
T3,Table 3.,,,-63.0,-6.0,-15.0,,,,,
T3,Table 3.,,,63.0,-3.0,-18.0,,,,,
T3,Table 3.,,,-6.0,57.0,30.0,,,,,
T3,Table 3.,,,-27.0,-36.0,-15.0,,,,,
T3,Table 3.,,,-39.0,-81.0,33.0,,,,,
T3,Table 3.,,,15.0,-48.0,9.0,,,,,
T3,Table 3.,,,27.0,-30.0,-18.0,,,,,
T3,Table 3.,,,48.0,-72.0,30.0,,,,,
T3,Table 3.,,,-3.0,-36.0,42.0,,,,,
T3,Table 3.,,,-57.0,-51.0,-9.0,,,,,
T3,Table 3.,,,-24.0,12.0,54.0,,,,,
T3,Table 3.,,,-51.0,-54.0,0.0,,,,,
T3,Table 3.,,,-48.0,39.0,12.0,,,,,
T4,Table 4.,,,57.0,-51.0,-15.0,,,,,
T4,Table 4.,,,-60.0,-33.0,6.0,,,,,
T4,Table 4.,,,-18.0,-3.0,-15.0,,,,,
T4,Table 4.,,,36.0,9.0,-15.0,,,,,
T4,Table 4.,,,21.0,9.0,3.0,,,,,
T4,Table 4.,,,18.0,-6.0,-12.0,,,,,
T4,Table 4.,,,-27.0,-33.0,-6.0,,,,,
T4,Table 4.,,,-60.0,-36.0,9.0,,,,,
T4,Table 4.,,,-15.0,-63.0,-33.0,,,,,
T4,Table 4.,,,6.0,3.0,30.0,,,,,
T4,Table 4.,,,-33.0,-9.0,-9.0,,,,,
T4,Table 4.,,,-48.0,9.0,-6.0,,,,,
T4,Table 4.,,,-24.0,9.0,9.0,,,,,
T4,Table 4.,,,57.0,-30.0,3.0,,,,,
T4,Table 4.,,,9.0,45.0,15.0,,,,,
T4,Table 4.,,,-9.0,-21.0,48.0,,,,,
T4,Table 4.,,,33.0,30.0,-12.0,,,,,
T4,Table 4.,,,18.0,12.0,6.0,,,,,
T3,Table 3.,,,3.0,-57.0,27.0,,,,,
T3,Table 3.,,,-15.0,-90.0,-3.0,,,,,
T3,Table 3.,,,-3.0,48.0,-9.0,,,,,
T3,Table 3.,,,-63.0,-6.0,-15.0,,,,,
T3,Table 3.,,,63.0,-3.0,-18.0,,,,,
T3,Table 3.,,,-6.0,57.0,30.0,,,,,
T3,Table 3.,,,-27.0,-36.0,-15.0,,,,,
T3,Table 3.,,,-39.0,-81.0,33.0,,,,,
T3,Table 3.,,,15.0,-48.0,9.0,,,,,
T3,Table 3.,,,27.0,-30.0,-18.0,,,,,
T3,Table 3.,,,48.0,-72.0,30.0,,,,,
T3,Table 3.,,,-3.0,-36.0,42.0,,,,,
T3,Table 3.,,,-57.0,-51.0,-9.0,,,,,
T3,Table 3.,,,-24.0,12.0,54.0,,,,,
T3,Table 3.,,,-51.0,-54.0,0.0,,,,,
T3,Table 3.,,,-48.0,39.0,12.0,,,,,
T4,Table 4.,,,57.0,-51.0,-15.0,,,,,
T4,Table 4.,,,-60.0,-33.0,6.0,,,,,
T4,Table 4.,,,-18.0,-3.0,-15.0,,,,,
T4,Table 4.,,,36.0,9.0,-15.0,,,,,
T4,Table 4.,,,21.0,9.0,3.0,,,,,
T4,Table 4.,,,18.0,-6.0,-12.0,,,,,
T4,Table 4.,,,-27.0,-33.0,-6.0,,,,,
T4,Table 4.,,,-60.0,-36.0,9.0,,,,,
T4,Table 4.,,,-15.0,-63.0,-33.0,,,,,
T4,Table 4.,,,6.0,3.0,30.0,,,,,
T4,Table 4.,,,-33.0,-9.0,-9.0,,,,,
T4,Table 4.,,,-48.0,9.0,-6.0,,,,,
T4,Table 4.,,,-24.0,9.0,9.0,,,,,
T4,Table 4.,,,57.0,-30.0,3.0,,,,,
T4,Table 4.,,,9.0,45.0,15.0,,,,,
T4,Table 4.,,,-9.0,-21.0,48.0,,,,,
T4,Table 4.,,,33.0,30.0,-12.0,,,,,
T4,Table 4.,,,18.0,12.0,6.0,,,,,
T3,Table 3.,,,3.0,-57.0,27.0,,,,,
T3,Table 3.,,,-15.0,-90.0,-3.0,,,,,
T3,Table 3.,,,-3.0,48.0,-9.0,,,,,
T3,Table 3.,,,-63.0,-6.0,-15.0,,,,,
T3,Table 3.,,,63.0,-3.0,-18.0,,,,,
T3,Table 3.,,,-6.0,57.0,30.0,,,,,
T3,Table 3.,,,-27.0,-36.0,-15.0,,,,,
T3,Table 3.,,,-39.0,-81.0,33.0,,,,,
T3,Table 3.,,,15.0,-48.0,9.0,,,,,
T3,Table 3.,,,27.0,-30.0,-18.0,,,,,
T3,Table 3.,,,48.0,-72.0,30.0,,,,,
T3,Table 3.,,,-3.0,-36.0,42.0,,,,,
T3,Table 3.,,,-57.0,-51.0,-9.0,,,,,
T3,Table 3.,,,-24.0,12.0,54.0,,,,,
T3,Table 3.,,,-51.0,-54.0,0.0,,,,,
T3,Table 3.,,,-48.0,39.0,12.0,,,,,
T4,Table 4.,,,57.0,-51.0,-15.0,,,,,
T4,Table 4.,,,-60.0,-33.0,6.0,,,,,
T4,Table 4.,,,-18.0,-3.0,-15.0,,,,,
T4,Table 4.,,,36.0,9.0,-15.0,,,,,
T4,Table 4.,,,21.0,9.0,3.0,,,,,
T4,Table 4.,,,18.0,-6.0,-12.0,,,,,
T4,Table 4.,,,-27.0,-33.0,-6.0,,,,,
T4,Table 4.,,,-60.0,-36.0,9.0,,,,,
T4,Table 4.,,,-15.0,-63.0,-33.0,,,,,
T4,Table 4.,,,6.0,3.0,30.0,,,,,
T4,Table 4.,,,-33.0,-9.0,-9.0,,,,,
T4,Table 4.,,,-48.0,9.0,-6.0,,,,,
T4,Table 4.,,,-24.0,9.0,9.0,,,,,
T4,Table 4.,,,57.0,-30.0,3.0,,,,,
T4,Table 4.,,,9.0,45.0,15.0,,,,,
T4,Table 4.,,,-9.0,-21.0,48.0,,,,,
T4,Table 4.,,,33.0,30.0,-12.0,,,,,
T4,Table 4.,,,18.0,12.0,6.0,,,,,
