table_id,table_label,table_caption,table_number,x,y,z,p_value,region,size,statistic,groups
Tab2,Table 2,,,24.0,-3.0,19.0,,,,,
Tab2,Table 2,,,3.0,-20.0,-18.0,,,,,
Tab2,Table 2,,,14.0,61.0,-4.0,,,,,
Tab2,Table 2,,,-27.0,40.0,3.0,,,,,
Tab2,Table 2,,,22.0,55.0,5.0,,,,,
Tab2,Table 2,,,-4.0,62.0,11.0,,,,,
Tab2,Table 2,,,31.0,10.0,33.0,,,,,
Tab2,Table 2,,,14.0,-44.0,38.0,,,,,
Tab2,Table 2,,,-11.0,32.0,-7.0,,,,,
Tab2,Table 2,,,7.0,31.0,-6.0,,,,,
Tab2,Table 2,,,24.0,-3.0,19.0,,,,,
Tab2,Table 2,,,3.0,-20.0,-18.0,,,,,
Tab2,Table 2,,,14.0,61.0,-4.0,,,,,
Tab2,Table 2,,,-27.0,40.0,3.0,,,,,
Tab2,Table 2,,,22.0,55.0,5.0,,,,,
Tab2,Table 2,,,-4.0,62.0,11.0,,,,,
Tab2,Table 2,,,31.0,10.0,33.0,,,,,
Tab2,Table 2,,,14.0,-44.0,38.0,,,,,
Tab2,Table 2,,,-11.0,32.0,-7.0,,,,,
Tab2,Table 2,,,7.0,31.0,-6.0,,,,,
