table_id,table_label,table_caption,table_number,x,y,z,p_value,region,size,statistic,groups
T1,Table 1,,,-57.0,-16.0,-2.0,,,,,
T1,Table 1,,,60.0,-13.0,-2.0,,,,,
T1,Table 1,,,63.0,-22.0,-2.0,,,,,
T1,Table 1,,,-48.0,17.0,22.0,,,,,
T1,Table 1,,,-39.0,29.0,-2.0,,,,,
T1,Table 1,,,-48.0,-7.0,43.0,,,,,
T1,Table 1,,,48.0,17.0,-8.0,,,,,
T1,Table 1,,,-60.0,-22.0,1.0,,,,,
T1,Table 1,,,-57.0,-13.0,-2.0,,,,,
T1,Table 1,,,-60.0,-37.0,4.0,,,,,
T1,Table 1,,,-42.0,29.0,-2.0,,,,,
T1,Table 1,,,-42.0,17.0,22.0,,,,,
T1,Table 1,,,-18.0,-10.0,-14.0,,,,,
T1,Table 1,,,60.0,-10.0,-2.0,,,,,
T1,Table 1,,,63.0,-22.0,-2.0,,,,,
T1,Table 1,,,54.0,5.0,-14.0,,,,,
T1,Table 1,,,42.0,32.0,-2.0,,,,,
T1,Table 1,,,54.0,23.0,22.0,,,,,
T1,Table 1,,,45.0,17.0,22.0,,,,,
T1,Table 1,,,51.0,-1.0,46.0,,,,,
T2,Table 2,,,-60.0,-16.0,1.0,,,,,
T2,Table 2,,,-63.0,-37.0,7.0,,,,,
T2,Table 2,,,66.0,-31.0,4.0,,,,,
T2,Table 2,,,60.0,-7.0,-5.0,,,,,
T2,Table 2,,,-60.0,-22.0,4.0,,,,,
T2,Table 2,,,63.0,-28.0,4.0,,,,,
T2,Table 2,,,63.0,-10.0,-5.0,,,,,
T3,Table 3,,,-48.0,-34.0,16.0,,,,,
T3,Table 3,,,48.0,2.0,-5.0,,,,,
T3,Table 3,,,-69.0,-19.0,-8.0,,,,,
T3,Table 3,,,-66.0,-1.0,-8.0,,,,,
T3,Table 3,,,-51.0,-22.0,13.0,,,,,
T3,Table 3,,,-48.0,-31.0,4.0,,,,,
T3,Table 3,,,-42.0,-43.0,7.0,,,,,
T3,Table 3,,,-57.0,-55.0,16.0,,,,,
T3,Table 3,,,-69.0,-40.0,1.0,,,,,
T3,Table 3,,,-69.0,-10.0,10.0,,,,,
T3,Table 3,,,69.0,-7.0,-11.0,,,,,
T3,Table 3,,,66.0,-22.0,-11.0,,,,,
T3,Table 3,,,69.0,-34.0,1.0,,,,,
T1,Table 1,,,-57.0,-16.0,-2.0,,,,,
T1,Table 1,,,60.0,-13.0,-2.0,,,,,
T1,Table 1,,,63.0,-22.0,-2.0,,,,,
T1,Table 1,,,-48.0,17.0,22.0,,,,,
T1,Table 1,,,-39.0,29.0,-2.0,,,,,
T1,Table 1,,,-48.0,-7.0,43.0,,,,,
T1,Table 1,,,48.0,17.0,-8.0,,,,,
T1,Table 1,,,-60.0,-22.0,1.0,,,,,
T1,Table 1,,,-57.0,-13.0,-2.0,,,,,
T1,Table 1,,,-60.0,-37.0,4.0,,,,,
T1,Table 1,,,-42.0,29.0,-2.0,,,,,
T1,Table 1,,,-42.0,17.0,22.0,,,,,
T1,Table 1,,,-18.0,-10.0,-14.0,,,,,
T1,Table 1,,,60.0,-10.0,-2.0,,,,,
T1,Table 1,,,63.0,-22.0,-2.0,,,,,
T1,Table 1,,,54.0,5.0,-14.0,,,,,
T1,Table 1,,,42.0,32.0,-2.0,,,,,
T1,Table 1,,,54.0,23.0,22.0,,,,,
T1,Table 1,,,45.0,17.0,22.0,,,,,
T1,Table 1,,,51.0,-1.0,46.0,,,,,
T2,Table 2,,,-60.0,-16.0,1.0,,,,,
T2,Table 2,,,-63.0,-37.0,7.0,,,,,
T2,Table 2,,,66.0,-31.0,4.0,,,,,
T2,Table 2,,,60.0,-7.0,-5.0,,,,,
T2,Table 2,,,-60.0,-22.0,4.0,,,,,
T2,Table 2,,,63.0,-28.0,4.0,,,,,
T2,Table 2,,,63.0,-10.0,-5.0,,,,,
T3,Table 3,,,-48.0,-34.0,16.0,,,,,
T3,Table 3,,,48.0,2.0,-5.0,,,,,
T3,Table 3,,,-69.0,-19.0,-8.0,,,,,
T3,Table 3,,,-66.0,-1.0,-8.0,,,,,
T3,Table 3,,,-51.0,-22.0,13.0,,,,,
T3,Table 3,,,-48.0,-31.0,4.0,,,,,
T3,Table 3,,,-42.0,-43.0,7.0,,,,,
T3,Table 3,,,-57.0,-55.0,16.0,,,,,
T3,Table 3,,,-69.0,-40.0,1.0,,,,,
T3,Table 3,,,-69.0,-10.0,10.0,,,,,
T3,Table 3,,,69.0,-7.0,-11.0,,,,,
T3,Table 3,,,66.0,-22.0,-11.0,,,,,
T3,Table 3,,,69.0,-34.0,1.0,,,,,
