Anatomical location,"Peak voxel x, y, z",t-values,Cluster size
FEMALE LISTENERS,FEMALE LISTENERS,FEMALE LISTENERS,FEMALE LISTENERS
Left hemisphere,Left hemisphere,Left hemisphere,Left hemisphere
"MTG, anterior","−60, −16, 1",20.41,1676
"MTG, posterior","−63, −37, 7",18.26,
Right hemisphere,Right hemisphere,Right hemisphere,Right hemisphere
"STG, middle","66, −31, 4",21.45,1671
"STG, anterior","60, −7, −5",19.49,
MALE LISTENERS,MALE LISTENERS,MALE LISTENERS,MALE LISTENERS
Left hemisphere,Left hemisphere,Left hemisphere,Left hemisphere
"MTG, middle","−60, −22, 4",13.70,984
Right hemisphere,Right hemisphere,Right hemisphere,Right hemisphere
"STG, middle","63, −28, 4",16.07,1211
"MTG, anterior","63, −10, −5",14.88,
