table_id,table_label,table_caption,table_number,x,y,z,p_value,region,size,statistic,groups
T3,Table 3. ,,,-62.0,-16.0,6.0,,,,,
T3,Table 3. ,,,-52.0,12.0,20.0,,,,,
T3,Table 3. ,,,-38.0,28.0,0.0,,,,,
T3,Table 3. ,,,-50.0,20.0,-6.0,,,,,
T3,Table 3. ,,,-52.0,28.0,16.0,,,,,
T3,Table 3. ,,,-30.0,24.0,-4.0,,,,,
T3,Table 3. ,,,-34.0,32.0,-14.0,,,,,
T3,Table 3. ,,,-38.0,26.0,-14.0,,,,,
T3,Table 3. ,,,-60.0,2.0,26.0,,,,,
T3,Table 3. ,,,60.0,-8.0,4.0,,,,,
T3,Table 3. ,,,66.0,-18.0,0.0,,,,,
T3,Table 3. ,,,48.0,12.0,-12.0,,,,,
T3,Table 3. ,,,-2.0,6.0,56.0,,,,,
T3,Table 3. ,,,0.0,-4.0,64.0,,,,,
T3,Table 3. ,,,-8.0,0.0,76.0,,,,,
T3,Table 3. ,,,-4.0,-28.0,78.0,,,,,
T3,Table 3. ,,,-4.0,-16.0,80.0,,,,,
T3,Table 3. ,,,-18.0,-28.0,76.0,,,,,
T3,Table 3. ,,,0.0,8.0,72.0,,,,,
T4,Table 4. ,,,62.0,-8.0,2.0,,,,,
T4,Table 4. ,,,60.0,0.0,-4.0,,,,,
T4,Table 4. ,,,64.0,-20.0,0.0,,,,,
T4,Table 4. ,,,-60.0,-10.0,0.0,,,,,
T4,Table 4. ,,,-64.0,-24.0,2.0,,,,,
T5,Table 5. ,,,-62.0,-16.0,8.0,,,,,
T5,Table 5. ,,,-40.0,-30.0,10.0,,,,,
T5,Table 5. ,,,-42.0,-24.0,12.0,,,,,
T5,Table 5. ,,,52.0,-16.0,10.0,,,,,
T5,Table 5. ,,,62.0,8.0,2.0,,,,,
T6,Table 6. ,,,-60.0,-14.0,4.0,,,,,
T6,Table 6. ,,,-42.0,-16.0,38.0,,,,,
T6,Table 6. ,,,-48.0,-14.0,40.0,,,,,
T6,Table 6. ,,,44.0,-12.0,36.0,,,,,
T6,Table 6. ,,,-52.0,-8.0,30.0,,,,,
T6,Table 6. ,,,-24.0,0.0,4.0,,,,,
T6,Table 6. ,,,56.0,-10.0,4.0,,,,,
T6,Table 6. ,,,0.0,0.0,58.0,,,,,
T6,Table 6. ,,,52.0,-16.0,6.0,,,,,
T6,Table 6. ,,,66.0,-20.0,2.0,,,,,
T6,Table 6. ,,,28.0,0.0,-4.0,,,,,
T6,Table 6. ,,,20.0,-28.0,60.0,,,,,
T6,Table 6. ,,,-18.0,-30.0,60.0,,,,,
T6,Table 6. ,,,-36.0,-30.0,14.0,,,,,
T6,Table 6. ,,,-52.0,10.0,22.0,,,,,
T6,Table 6. ,,,-44.0,-56.0,-10.0,,,,,
T6,Table 6. ,,,-32.0,22.0,4.0,,,,,
T6,Table 6. ,,,-38.0,-36.0,42.0,,,,,
T6,Table 6. ,,,34.0,20.0,6.0,,,,,
T6,Table 6. ,,,-8.0,12.0,38.0,,,,,
T7,Table 7. ,,,-44.0,-14.0,34.0,,,,,
T7,Table 7. ,,,-2.0,4.0,56.0,,,,,
T7,Table 7. ,,,42.0,-12.0,36.0,,,,,
T7,Table 7. ,,,-56.0,-4.0,24.0,,,,,
T7,Table 7. ,,,64.0,-18.0,0.0,,,,,
T7,Table 7. ,,,56.0,-4.0,28.0,,,,,
T7,Table 7. ,,,-60.0,-14.0,2.0,,,,,
T7,Table 7. ,,,-44.0,-22.0,10.0,,,,,
T7,Table 7. ,,,-26.0,-66.0,52.0,,,,,
T7,Table 7. ,,,-44.0,8.0,26.0,,,,,
T7,Table 7. ,,,-62.0,-28.0,4.0,,,,,
T7,Table 7. ,,,20.0,-28.0,60.0,,,,,
T7,Table 7. ,,,32.0,26.0,0.0,,,,,
T7,Table 7. ,,,18.0,16.0,0.0,,,,,
T7,Table 7. ,,,-30.0,24.0,4.0,,,,,
T7,Table 7. ,,,-18.0,-30.0,58.0,,,,,
T7,Table 7. ,,,-16.0,14.0,8.0,,,,,
T7,Table 7. ,,,36.0,18.0,8.0,,,,,
T7,Table 7. ,,,-46.0,-32.0,40.0,,,,,
T7,Table 7. ,,,6.0,0.0,6.0,,,,,
T7,Table 7. ,,,-12.0,-18.0,0.0,,,,,
T7,Table 7. ,,,0.0,-24.0,2.0,,,,,
T7,Table 7. ,,,-4.0,-28.0,-14.0,,,,,
T7,Table 7. ,,,2.0,-14.0,-8.0,,,,,
T7,Table 7. ,,,12.0,-20.0,2.0,,,,,
T7,Table 7. ,,,16.0,-18.0,-2.0,,,,,
T7,Table 7. ,,,-6.0,-34.0,-2.0,,,,,
T7,Table 7. ,,,14.0,-18.0,8.0,,,,,
T7,Table 7. ,,,-10.0,-34.0,-20.0,,,,,
T8,Table 8. ,,,48.0,-20.0,10.0,,,,,
T8,Table 8. ,,,40.0,-26.0,16.0,,,,,
T8,Table 8. ,,,60.0,-30.0,0.0,,,,,
