Unnamed: 0,Estimate,SE,df,t,p,Unnamed: 6
Intercept,1.76976,0.84161,60.91,2.103,0.03962,*
task,−0.21168,0.32741,85.14,−0.647,0.51966,
stimulus,0.35568,0.32741,125.7,1.518,0.13156,
hemisphere,−0.01502,0.19203,236.0,−0.078,0.93771,
Age,−0.02927,0.3917,82.77,−0.075,0.94061,
accuracy,0.65940,1.09603,58.0,0.602,0.54977,
task:stimulus,1.66089,0.37515,105.02,4.427,2.34e−05,***
task:hemisphere,0.29972,0.27157,236.0,1.104,0.27087,
stimulus:hemisphere,0.44485,0.27157,236.0,1.638,0.10274,
task:age,−0.15187,0.47484,85.14,−0.320,0.74988,
stimulus:age,1.13313,0.33986,125.7,3.334,0.00112,**
hemisphere:age,0.19873,0.27851,236.0,0.714,0.47620,
task:stimulus:hemisphere,−0.46865,0.38406,236.0,−1.22,0.22359,
task:stimulus:age,0.25428,0.54409,105.02,0.467,0.64122,
task:hemisphere:age,−0.23793,0.39387,236.0,−0.604,0.54636,
stimulus:hemisphere:age,−0.29720,0.39387,236.0,−0.755,0.45126,
task:stimulus:hemisphere:age,0.50413,0.55701,236.0,0.905,0.36635,
