Region,Size (μl),t score,Coordinates,Coordinates,Coordinates
Region,Size (μl),t score,x,y,z
Left superior temporal gyrus,"581,432",14.0,−60,−14,4
Left postcentral gyrus,,13.9,−42,−16,38
Left postcentral gyrus,,13.8,−48,−14,40
Right postcentral gyrus,,13.7,44,−12,36
Left postcentral gyrus,,13.4,−52,−8,30
Left putamen,,12.9,−24,0,4
Right superior temporal gyrus,,12.5,56,−10,4
Supplemental motor area,,12.4,0,0,58
Right superior temporal gyrus,,12.3,52,−16,6
Right superior temporal gyrus,,11.4,66,−20,2
Right putamen,,10.6,28,0,−4
Right precentral gyrus,,10.6,20,−28,60
Left paracentral lobule,,10.5,−18,−30,60
Left Heschl’s gyrus,,9.89,−36,−30,14
Left inferior frontal gyrus,,9.58,−52,10,22
Left inferior temporal gyrus,,9.13,−44,−56,−10
Left insula,,8.84,−32,22,4
Left inferior parietal cortex,,8.41,−38,−36,42
Right insula,,8.19,34,20,6
Dorsal anterior cingulate,,8.11,−8,12,38
