,pmcid,HasRestingState,annotator_name,Exclude,Modality,TaskName,TaskDescription,Condition,ContrastDefinition
2241626,2241626,False,delavega-aliceoverlap,,['fMRI-BOLD'],"['mental calculation task', 'language comprehension task']","['In the present research, our goal was to define a simple fMRI test, less than 5 minutes long, that could delineate, in a subject-specific manner, those cerebral circuits. A functional sequence was added to each functional imaging session performed in our lab (Figure  ), taking advantage of the continuous flow of volunteers recruited for various protocols. Because we wanted to capture the maximal amount of functional information in the minimum amount of time, we designed the sequence according the following challenging constraints: \n\n▪ the sequence had to be short, so as to disrupt as little as possible the main protocol. We choose 5 minutes for performing 100 trials. \n\n▪ we aimed to obtain for each subject a description of different levels of functional architecture, from sensori-motor areas (perception and action) to more associative areas involved in reading, language processing and calculation. \n\n▪ we aimed to capture in 5 minutes most of the individual networks related to each task. \n\n▪ individual networks described in 5 min had to be reproducible over sessions and time. \n\nThe feasibility of using short stimulation designs (ranging from 10 to 25 min long) to reveal individual functional maps has been previously assessed for language mapping [ ], for visual areas [ ] and recently for a set of functional networks covering sensorimotor processes, working memory, executive functions and emotional processes [ ]. Beyond that point, the main goal of the current study was to use the data obtained with this fMRI protocol with individual subjects as the cornerstone of a large-scale hybrid database. Because the individual functional information that can be captured in such a short sequence should be considered with caution, we focus here on the design efficiency and within-subject. We then describe preliminary data obtained from 81 subjects scanned in a 3T scanner and address new methodological issues including statistical methods for analysis and visualization of inter-individual functional variability. Subsequent publications will exploit the potential of this database to focus on characterizing inter-individual variability. ']",,
2686646,2686646,False,delavega_nv,,['fMRI-BOLD'],['one-back task'],,"['words', 'objects', 'scrambled objects']","['words\xa0>\xa0fixation', 'objects\xa0>\xa0scrambled objects']"
3078751,3078751,False,delavega-other,,['fMRI-BOLD'],['movement observation paradigm'],"['participants had to register auditory cues that determined what movement the dancer was to perform next, and watch the ensuing movements', 'participants watched a dancer performing according to cue, but occasionally making mistakes. Previous to playing the task, the participants were instructed on the cue-movement associations that rule the task (low chord: repetition; high chord: switch). They received a short training where they could choose either four or eight example movies that contained up to 19 cued movements, before they started the task. The movie of the dancer was displayed in the middle of an otherwise gray computer screen, using the Software Presentation 12.0 (Neurobehavioral Systems, San Francisco, CA, USA). Visual input did not extend further than 5° of visual angle. The movies were stopped in irregular intervals and participants had to indicate by button press, whether the dancer had performed correctly immediately before video offset. That is, participants had to indicate whether the very last movement had been correct, irrespective of possible earlier errors. Questions were indicated by a question mark (“?”) displayed in font size 24 for 1500\u2009ms or until the first response. Participants had to press the arrow-to-the-left key (index finger) if they judged the last movement to have been according to cue or press the arrow-to-the-right key (middle finger) if they thought the movement had not been according to cue. Responses had to be given within a timeframe of 1500\u2009ms and were followed by a valid feedback for 400\u2009ms indicating correct, incorrect or delayed responses (“+”/“−”/“0”; Figure  ). ']","['predicted', 'prediction-violating movements', 'correct movements', 'incorrect movements', 'first dissimilar transition cues', 'switch cues', 'repetition cues', 'null events']",
3445793,3445793,False,delavega-aliceoverlap,['MetaAnalysis'],,[],,,
3555187,3555187,False,delavega_nv,['MetaAnalysis'],,[],,,
3825257,3825257,True,delavega_nv,,['fMRI-BOLD'],[],,,
4110030,4110030,True,delavega_nv,,['fMRI-BOLD'],[],,,
4115625,4115625,False,delavega-other,,['fMRI-BOLD'],['Voice localizer paradigm'],"['The voice localizer includes a variety of different vocal sounds, not exclusively female or male voices, but also speech and non-speech of women, men and infants and non-vocal sounds (e.g., environmental sounds)', 'Subjects were instructed to close their eyes and passively listen to a large variety of sounds. Stimuli were presented in a simple block design and divided into vocal (20 blocks) and non-vocal (20 blocks) conditions. Vocal blocks contained only sounds of human vocal origin (excluding sounds without vocal fold vibration such as whistling or whispering) and consisted of speech (e.g., words, syllables, connected speech in different languages) or non-speech (e.g., coughs, laughs, sighs and cries). The vocal stimuli consisted of recordings from 7 babies, 12 adults, 23 children, and 5 elderly people. Half of the vocal sounds (speech and non-speech) consisted of vocalizations from adults and elderly people (women and men) with comparable proportions for both genders (~24% female, ~22% male). The other half of the vocal sounds consisted of infant vocalizations (speech and non-speech) which also included baby crying/laughing. Recorded non-vocal sounds included various environmental sounds (e.g., animal vocalizations, musical instruments, nature and industrial sounds). A total number of 40 blocks were presented. Each block lasted for 8 s with an inter-block interval of 2 s. Stimuli (16bit, mono, 22050 Hz sampling rate) were normalized for RMS and are available at   (Belin et al.,  ). ']","['vocal', 'non-vocal ']","['vocal vs. non-vocal', 'male > female', 'female > male']"
4179768,4179768,False,delavega_nv,,['fMRI-BOLD'],['single food choice task'],"['During the functional MRI scan, participants performed a food choice task (Figure  ). In this ask, participants made 100 choices. In every trial, they viewed one of the study stimuli (3000 ms, choice period) and subsequently had to indicate with a button press (1500 ms, button press period) whether they wanted to eat a portion of the snack or not. During the button press period the words “yes” and “no” were shown left/right (randomized) on the screen. After indicating their choice, a yellow box appeared around the yes or no. Participants were instructed to make their choice already during the period that the image was shown. To ensure that their choices were actually made in direct response to the food pictures, the button press period was so short that it only allowed them to locate whether they had to push the left or right button. The choice trials were interspersed with a random interval (2000 and 5000 ms). At the beginning, halfway (after 50 trials) and at the end an additional baseline period of 30,000 ms was included in the task. ']","['HE choice periods', 'LE choice periods', 'button press screen', 'practice', 'missed']",
4374765,4374765,False,delavega_nv,,"['MRS', 'fMRI-BOLD']",['fear inducing paradigm'],,"['spiders', 'control animals', 'IAPSnegative', 'IAPSneutral']","['SPIDERS > ANIMALS', 'IAPSnegative > IAPSneutral']"
4386762,4386762,True,delavega_nv,,['fMRI-BOLD'],[],,,
4398371,4398371,False,delavega_nv,,['fMRI-BOLD'],"['Soccer Paradigm', 'monetary incentive paradigm']",,"['GOAL', 'MISS', 'win', 'no win']","['Reward Probability (RP) versus 0', 'Reward Reception (RR): Win/Goal > NoWin/Miss', 'Reward Prediction Error (RPE) versus 0']"
4440210,4440210,True,delavega-aliceoverlap,,['fMRI-BOLD'],['emotional matching task'],['Subjects were shown triplets of geometric shapes (as neutral stimuli) and of threatening scenes as well as fearful faces (as emotional conditions) presented in alternating blocks of neutral and emotional stimuli.'],"['neutral stimuli', 'emotional condition']","['Faces – Forms', 'IAPS Pictures – Forms']"
4488375,4488375,False,delavega_nv,,['fMRI-BOLD'],['n/a'],"['The task used in this experiment was programmed using PsychoPy [ ]. The task featured a 0-back and a 1-back condition that continuously switched from one another throughout the experimental session (see  ). Our paradigm is broadly similar to the paradigm used by Smallwood and colleagues [ ] and was modified with the specific aim of maximising the differences between the 0-back and the 1-back conditions. In both conditions participants saw different pairs of shapes (Non-Targets, NT) appearing on the screen divided by a vertical line; the pairs could be: a circle and a square, a circle and a triangle, or a square and a triangle for a total of 6 possible pairs (two different left/right configurations for each). The pairs never had shapes of the same kind (e.g. a square and a square). In both tasks a block of NT was followed by target requiring participants to make a manual response. The target was a small stimulus presented in either blue or red and the colour was counterbalanced across participants. In the 0-back condition the target was flanked by one of two shapes and participants had to indicate by pressing the appropriate button which shape matched the target shape. In the 1-back condition, the target was flanked by two question marks and participants had to respond depending on which side the target shape was on the prior trial. For the behavioural study responses were made using the left and right arrow keys, for the neuroimaging study responses were made using a button box. Importantly, unlike the paradigm employed by Smallwood and colleagues [ ] this design ensures that the participants cannot know what response to make when presented with the to be encoded stimulus. \n']",,
